4387	0
1738	0
2787	0
6203	0
5728	0
234	0
4197	0
912	0
3177	0
5469	0
6095	0
539	0
5411	0
5705	0
5162	0
1311	0
6257	0
4403	0
1957	0
3747	0
2039	0
1176	0
1410	0
6035	0
6221	0
202	0
5275	0
185	0
3436	0
6234	0
2162	0
4956	0
337	0
2379	0
5285	0
1606	0
4872	0
589	0
3634	0
1959	0
195	0
2512	0
4188	0
780	0
171	0
918	0
6254	0
1991	0
6134	0
3707	0
6186	0
4418	0
594	0
4796	0
6324	0
2762	0
4473	0
1900	0
6096	1
2035	0
2713	0
3695	0
2768	0
2706	0
2673	0
6242	0
6072	0
2783	0
1373	0
646	0
2651	0
1433	0
2826	0
925	0
5640	0
3243	0
4747	0
5994	0
3904	0
2603	0
4627	0
36	0
61	0
1621	0
3785	0
2820	0
1983	0
3077	0
614	0
4577	0
5105	0
5661	0
1962	0
4269	0
6	0
3708	0
877	0
6473	1
5957	0
1669	0
6187	0
1721	0
6047	0
180	0
2614	0
106	1
683	0
5324	0
4320	0
1543	0
3206	0
2556	0
4373	1
172	1
4198	0
5017	0
5203	0
4005	0
1969	0
6367	0
3564	0
4045	0
3843	0
1642	0
4877	0
784	0
5196	0
3074	0
4242	0
2884	0
708	0
5048	0
1207	0
795	0
3694	0
4013	0
5253	0
4999	0
1608	0
4330	0
216	0
5055	0
1377	0
5670	0
2102	0
3729	0
3342	0
5243	0
1310	0
607	0
5486	0
4267	0
1958	0
1945	0
5304	0
1347	0
4752	0
952	0
1453	0
336	0
2881	0
1112	0
1929	0
958	0
4240	0
4340	0
3854	0
2553	0
3198	0
388	0
2947	0
5925	0
4243	0
3133	0
479	0
960	0
528	0
2319	0
2914	0
456	0
5269	0
321	0
3587	0
4988	0
5069	0
5743	0
1774	0
4179	0
4803	0
3316	0
3285	0
5930	1
220	0
5847	0
2353	0
4732	0
4586	0
2334	0
418	0
3105	0
1940	0
3986	0
682	0
3247	0
4802	0
4592	0
1470	0
515	0
3513	0
993	0
3008	0
3113	0
899	0
564	0
5996	0
1380	0
2441	0
2744	0
6486	1
4341	0
5450	0
1528	0
4046	0
1661	0
5944	1
2170	0
4332	0
6178	0
636	0
6407	0
5114	0
4392	0
1064	0
5733	0
6082	0
4283	0
1341	0
1474	0
3099	0
1618	0
848	0
3851	0
346	0
701	0
2272	0
1746	0
731	0
4534	0
3147	0
6131	0
2474	0
3000	0
4047	0
5509	0
2491	0
15	0
4059	0
209	0
4342	0
3181	0
1259	0
4919	0
2577	0
2771	0
472	0
1675	0
6155	0
4220	0
2110	0
1810	0
3570	0
5688	0
3525	0
774	0
5818	0
949	0
6281	0
6443	0
702	0
2573	0
3581	0
1588	0
6434	0
2632	0
1641	0
1075	0
2216	0
4615	1
5163	0
3199	0
1417	0
595	0
5477	0
1941	0
1503	0
4955	0
6048	0
740	0
2080	0
5762	0
6351	0
3076	0
6207	0
5836	1
2246	0
1579	0
5779	1
169	0
1359	0
174	1
5000	0
1860	0
732	0
959	0
4863	0
512	0
1885	0
3861	0
5716	0
